ArticleEntity,Event,Gold,Silver,Bronze, 
Q3080197,Q7582145,"Q145,Q571095","Q145,Q525287","Q833,Q1726993",
Q3080197,Q7582146,"Q833,Q867189","Q55,Q2247692","Q79,Q3660925",
